group,label,cpu_mean,cpu_max,energy_mean,energy_max,meter_mean,meter_min,meter_max,meter_start,meter_end,meter_delta,sample_count,error_count
energy_by_container_name,accounting,,,4.9650909090909074,8.654545454545454,,,,,,,,
energy_by_container_name,ad,,,3.408,4.290909090909091,,,,,,,,
energy_by_container_name,alertsnitch,,,0.03200000000000001,0.07272727272727272,,,,,,,,
energy_by_container_name,alertsnitch-mysql,,,0.3330909090909091,0.34545454545454546,,,,,,,,
energy_by_container_name,cart,,,11.061090909090911,26.636363636363637,,,,,,,,
energy_by_container_name,checkout,,,0.7607272727272726,1.1818181818181817,,,,,,,,
energy_by_container_name,configfile,,,0.0,0.0,,,,,,,,
energy_by_container_name,coredns,,,4.685090909090908,5.127272727272727,,,,,,,,
energy_by_container_name,currency,,,0.7476363636363638,1.1090909090909091,,,,,,,,
energy_by_container_name,elasticsearch-logging,,,5.866181818181816,6.472727272727273,,,,,,,,
energy_by_container_name,email,,,0.9709090909090909,1.4,,,,,,,,
energy_by_container_name,flagd,,,0.4785454545454546,0.6727272727272727,,,,,,,,
energy_by_container_name,flagd-ui,,,5.309090909090909,5.636363636363636,,,,,,,,
energy_by_container_name,fraud-detection,,,10.118545454545451,12.6,,,,,,,,
energy_by_container_name,frontend,,,240.11345454545454,384.1272727272727,,,,,,,,
energy_by_container_name,frontend-proxy,,,56.09381818181821,84.63636363636363,,,,,,,,
energy_by_container_name,image-provider,,,0.5119999999999998,0.5636363636363636,,,,,,,,
energy_by_container_name,init-config,,,0.0,0.0,,,,,,,,
energy_by_container_name,kafka,,,23.359272727272728,26.945454545454545,,,,,,,,
energy_by_container_name,kepler-exporter,,,4.820363636363635,5.709090909090909,,,,,,,,
energy_by_container_name,kernel_processes,,,528.9810909090909,604.6363636363636,,,,,,,,
energy_by_container_name,kibana-logging,,,1.4887272727272725,2.2545454545454544,,,,,,,,
energy_by_container_name,lb-tcp-443,,,0.0,0.0,,,,,,,,
energy_by_container_name,lb-tcp-80,,,0.0,0.0,,,,,,,,
energy_by_container_name,llm,,,13.538181818181814,14.654545454545454,,,,,,,,
energy_by_container_name,load-generator,,,496.48436363636347,532.7090909090908,,,,,,,,
energy_by_container_name,local-path-provisioner,,,0.03490909090909092,0.07272727272727272,,,,,,,,
energy_by_container_name,metrics-server,,,2.6647272727272724,2.909090909090909,,,,,,,,
energy_by_container_name,node-exporter,,,0.0,0.0,,,,,,,,
energy_by_container_name,opensearch,,,42.99563636363636,66.0909090909091,,,,,,,,
energy_by_container_name,opentelemetry-collector,,,89.11563636363633,166.47272727272727,,,,,,,,
energy_by_container_name,payment,,,5.525090909090909,6.509090909090909,,,,,,,,
energy_by_container_name,postgresql,,,5.0574545454545445,7.763636363636364,,,,,,,,
energy_by_container_name,product-catalog,,,15.34909090909091,35.03636363636363,,,,,,,,
energy_by_container_name,product-reviews,,,11.036363636363637,16.927272727272726,,,,,,,,
energy_by_container_name,quote,,,0.12581818181818177,0.39999999999999997,,,,,,,,
energy_by_container_name,recommendation,,,9.632,12.072727272727272,,,,,,,,
energy_by_container_name,shipping,,,3.932363636363637,4.2727272727272725,,,,,,,,
energy_by_container_name,system_processes,,,184.1350107151515,203.78181818181815,,,,,,,,
energy_by_container_name,traefik,,,0.176,0.3090909090909091,,,,,,,,
energy_by_container_name,valkey-cart,,,1.3709090909090909,1.4545454545454546,,,,,,,,
energy_by_container_name,wait-for-kafka,,,0.0,0.0,,,,,,,,
energy_by_container_name,wait-for-valkey-cart,,,0.0,0.0,,,,,,,,
cpu_k8s_by_id,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod28df2fc0_fe82_4e44_b0dc_8314cb147da6.slice/cri-containerd-5255465efcbae4eccf58d48966b3332ae6dcf18a024e244233e9a10419d8b948.scope,0.031501946468360666,0.03328179086870772,,,,,,,,,,
